2020/01/29 07:53:15 , brian, 2
2020/01/29 07:53:25 , brian, 2
2020/01/29 07:53:36 , brian, 20
2020/01/29 07:53:47 , brian, 10
2020/01/29 07:53:57 , brian, 2
2020/01/29 07:54:09 , brian, 10
2020/01/29 07:54:10 , brian, 20
2020/01/29 07:54:20 , brian, 1
2020/01/29 07:54:29 , brian, 10
2020/01/29 07:54:32 , brian, 2
2020/01/29 07:55:09 , brian, 30
2020/01/29 07:55:14 , brian, 1
2020/01/29 07:55:24 , brian, 2
2020/01/29 07:55:39 , brian, 20
2020/01/29 07:55:57 , brian, 10
2020/01/29 07:56:11 , brian, 40
2020/01/29 07:56:47 , brian, 30
