2020/01/29 04:17:02 , ambulance3, 4
2020/01/29 04:17:25 , ambulance3, 8
2020/01/29 04:17:32 , ambulance3, 9
2020/01/29 04:17:54 , ambulance3, 13
2020/01/29 04:18:34 , ambulance3, 22
2020/01/29 04:18:42 , ambulance3, 21
2020/01/29 04:18:55 , ambulance3, 25
2020/01/29 04:19:02 , ambulance3, 26
2020/01/29 04:19:25 , ambulance3, 30
2020/01/29 04:19:42 , ambulance3, 36
2020/01/29 04:20:02 , ambulance3, 39
2020/01/29 04:20:14 , ambulance3, 41
2020/01/29 04:20:44 , ambulance3, 47
2020/01/29 04:20:55 , ambulance3, 50
